Feature,Importance
V17,132.9898725511531
V14,73.70807334775276
V12,64.69038642731972
V7,57.558417034436516
V10,50.64985726089092
V3,48.322799543062374
V16,43.10373173299743
V8,33.19290618037459
V21,27.957158774359463
V5,21.624405440758967
V1,19.478602813785248
V18,19.46695410129821
V11,15.475592200420595
V27,12.267525098021288
V9,11.311892374124016
V4,9.806360683170345
V23,8.6412251550682
V2,8.46538176533571
V22,4.7227623851353435
V20,3.3743760807539935
V19,3.3645622195287244
V6,3.272224635046903
V28,3.135943402442024
V25,2.6843808577238857
V15,1.455637315432633
V13,1.4071491117036772
Amount,1.0947751403669872
V24,0.8346557850562444
V26,0.8019824205176848
